combo,cell_count,removed,brain_region
PM-MS_85716-BLM0-PVC-RSN,2636,kept,PVC
PM-UD_11494_001-BLM0-PFC-RSN,6960,kept,PFC
PM-UM_BEB19010-BLM0-PVC-RSN,4187,kept,PVC
PM-UM_HCTBY-BLM0-GPI-RSN,5868,kept,GPI
PM-UM_BEB19108-BLM0-DMNX-RSN,2337,kept,DMNX
PM-UD_11466_001-BLM0-PMC-RSN,3963,kept,PMC
PM-MS_29270-BLM0-DMNX-RSN,1127,kept,DMNX
PM-MS_616180-BLM0-GPI-RSN,2495,kept,GPI
PM-MS_17629-BLM0-DMNX-RSN,3283,kept,DMNX
PM-UD_40312_001-BLM0-PMC-RSN,6371,kept,PMC
PM-UD_40301_001-BLM0-PVC-RSN,7143,kept,PVC
PM-UM_BEB18119-BLM0-PFC-RSN,5627,kept,PFC
PM-UM_HBHQ-BLM0-GPI-RSN,1567,kept,GPI
PM-MS_458379-BLM0-GPI-RSN,1316,kept,GPI
PM-UD_11609_001-BLM0-PMC-RSN,2946,kept,PMC
PM-UD_11327_001-BLM0-PVC-RSN,3259,kept,PVC
PM-UM_HCTTO-BLM0-PFC-RSN,2673,kept,PFC
PM-MS_46475-BLM0-GPI-RSN,603,kept,GPI
PM-UM_HABI-BLM0-PMC-RSN,6489,kept,PMC
PM-UM_HBHE-BLM0-PFC-RSN,5030,kept,PFC
PM-UM_HBRH-BLM0-PFC-RSN,3443,kept,PFC
PM-UM_HCTIX-BLM0-PMC-RSN,5420,kept,PMC
PM-UD_11689_001-BLM0-DMNX-RSN,2830,kept,DMNX
PM-UD_11406_001-BLM0-DMNX-RSN,2554,kept,DMNX
PM-UD_11353_001-BLM0-GPI-RSN,5116,kept,GPI
PM-UM_BEB18140-BLM0-PFC-RSN,6011,kept,PFC
PM-UM_HZC-BLM0-PMC-RSN,3960,kept,PMC
PM-UM_HCTYE-BLM0-PVC-RSN,2973,kept,PVC
PM-UM_HCTZZM-BLM0-PVC-RSN,6439,kept,PVC
PM-MS_38636-BLM0-DMNX-RSN,4202,kept,DMNX
PM-UD_11334_001-BLM0-PVC-RSN,6194,kept,PVC
PM-UM_HBRH-BLM0-GPI-RSN,4140,kept,GPI
PM-UM_HCTZZL-BLM0-PMC-RSN,4757,kept,PMC
PM-UD_11614_102-BLM0-DMNX-RSN,2890,kept,DMNX
PM-UM_HTM-BLM0-PFC-RSN,2635,kept,PFC
PM-UD_11701_001-BLM0-PFC-RSN,8383,kept,PFC
PM-UD_11466_001-BLM0-PFC-RSN,4269,kept,PFC
PM-UD_11604_001-BLM0-GPI-RSN,4703,kept,GPI
PM-UM_HCTIX-BLM0-DMNX-RSN,4721,kept,DMNX
PM-UD_11398_001-BLM0-DMNX-RSN,2390,kept,DMNX
PM-UD_1052_001-BLM0-PMC-RSN,4647,kept,PMC
PM-UD_11485_001-BLM0-PFC-RSN,6656,kept,PFC
PM-UM_BEB19139-BLM0-DMNX-RSN,5024,kept,DMNX
PM-UM_HBHE-BLM0-PVC-RSN,9500,kept,PVC
PM-UM_BEB18119-BLM0-GPI-RSN,2410,kept,GPI
PM-MS_30944-BLM0-DMNX-RSN,781,kept,DMNX
PM-MS_202387-BLM0-PFC-RSN,5915,kept,PFC
PM-UD_11406_001-BLM0-PMC-RSN,6602,kept,PMC
PM-UD_11353_001-BLM0-PVC-RSN,6694,kept,PVC
PM-UM_BEB20014-BLM0-GPI-RSN,7664,kept,GPI
PM-UM_HBRE-BLM0-DMNX-RSN,5371,kept,DMNX
PM-UM_HCTYE-BLM0-PFC-RSN,2322,kept,PFC
PM-UD_11689_001-BLM0-PVC-RSN,2435,kept,PVC
PM-UM_BEB19010-BLM0-PMC-RSN,5554,kept,PMC
PM-UM_BEB19108-BLM0-PVC-RSN,2749,kept,PVC
PM-UM_BEB20006-BLM0-GPI-RSN,3659,kept,GPI
PM-UM_HCTIX-BLM0-PFC-RSN,6397,kept,PFC
PM-MS_69779-BLM0-PMC-RSN,5230,kept,PMC
PM-MS_272264-BLM0-PFC-RSN,4357,kept,PFC
PM-UD_11701_001-BLM0-PMC-RSN,7734,kept,PMC
PM-UD_11659_001-BLM0-PFC-RSN,12005,kept,PFC
PM-UM_HBHE-BLM0-DMNX-RSN,5644,kept,DMNX
PM-UM_HCTIX-BLM0-GPI-RSN,7898,kept,GPI
PM-UD_11363_001-BLM0-PFC-RSN,7226,kept,PFC
PM-UD_11398_001-BLM0-GPI-RSN,6456,kept,GPI
PM-UM_BEB18140-BLM0-PMC-RSN,8057,kept,PMC
PM-UM_HZC-BLM0-PVC-RSN,5942,kept,PVC
PM-UM_HCTZZM-BLM0-DMNX-RSN,4715,kept,DMNX
PM-MS_69190-BLM0-PFC-RSN,6104,kept,PFC
PM-UD_11406_001-BLM0-PVC-RSN,5424,kept,PVC
PM-UD_11353_001-BLM0-DMNX-RSN,2575,kept,DMNX
PM-UM_HABI-BLM0-PFC-RSN,6590,kept,PFC
PM-UM_HBRE-BLM0-GPI-RSN,5743,kept,GPI
PM-UM_HCTYE-BLM0-PMC-RSN,3010,kept,PMC
PM-MS_114382-BLM0-DMNX-RSN,2971,kept,DMNX
PM-UD_11689_001-BLM0-PFC-RSN,7040,kept,PFC
PM-UM_BEB20006-BLM0-PVC-RSN,4670,kept,PVC
PM-UM_BEB20013-BLM0-GPI-RSN,8550,kept,GPI
PM-UM_HCTWJ-BLM0-DMNX-RSN,2242,kept,DMNX
PM-MS_85716-BLM0-DMNX-RSN,4221,kept,DMNX
PM-UD_11494_001-BLM0-PMC-RSN,8203,kept,PMC
PM-UD_11466_001-BLM0-PVC-RSN,6764,kept,PVC
PM-UM_BEB19010-BLM0-DMNX-RSN,3355,kept,DMNX
PM-UM_BEB19157-BLM0-PFC-RSN,5580,kept,PFC
PM-UM_BEB19108-BLM0-GPI-RSN,1767,kept,GPI
PM-MS_38636-BLM0-GPI-RSN,4146,kept,GPI
PM-MS_202387-BLM0-PVC-RSN,13089,kept,PVC
PM-UD_1052_001-BLM0-GPI-RSN,2934,kept,GPI
PM-UD_11485_001-BLM0-DMNX-RSN,1811,kept,DMNX
PM-UM_BEB20014-BLM0-PMC-RSN,5167,kept,PMC
PM-UM_HBRE-BLM0-PFC-RSN,4691,kept,PFC
PM-HA_S01646-BLM0-DMNX-RSN,4441,kept,DMNX
PM-HA_S02971-BLM0-GPI-RSN,1966,kept,GPI
PM-HA_S03112-BLM0-PVC-RSN,3818,kept,PVC
PM-HA_S05887-BLM0-PFC-RSN,3800,kept,PFC
PM-HA_S11972-BLM0-PMC-RSN,4461,kept,PMC
PM-HA_S00447-BLM0-DMNX-RSN,1923,kept,DMNX
PM-HA_S05887-BLM0-PVC-RSN,6597,kept,PVC
PM-HA_S07532-BLM0-PMC-RSN,2905,kept,PMC
PM-HA_S18739-BLM0-PFC-RSN,6213,kept,PFC
PM-HA_S19010-BLM0-GPI-RSN,3241,kept,GPI
PM-HA_S04610-BLM0-PVC-RSN,1716,kept,PVC
PM-HA_S00447-BLM0-PFC-RSN,1322,kept,PFC
PM-HA_S00781-BLM0-GPI-RSN,5923,kept,GPI
PM-HA_S07532-BLM0-DMNX-RSN,3362,kept,DMNX
PM-HA_S10096-BLM0-PFC-RSN,6462,kept,PFC
PM-HA_S16962-BLM0-PVC-RSN,2913,kept,PVC
PM-HA_S04610-BLM0-GPI-RSN,978,kept,GPI
PM-HA_S02971-BLM0-PMC-RSN,2256,kept,PMC
PM-HA_S01646-BLM0-GPI-RSN,6460,kept,GPI
PM-HA_S07555-BLM0-DMNX-RSN,2676,kept,DMNX
PM-HA_S16580-BLM0-DMNX-RSN,2946,kept,DMNX
PM-HA_S19010-BLM0-PFC-RSN,6567,kept,PFC
PM-HA_S07532-BLM0-PVC-RSN,2559,kept,PVC
PM-HA_S00447-BLM0-GPI-RSN,1957,kept,GPI
PM-HA_S02971-BLM0-PFC-RSN,3149,kept,PFC
PM-HA_S05887-BLM0-PMC-RSN,6068,kept,PMC
PM-HA_S11972-BLM0-PVC-RSN,4353,kept,PVC
PM-HA_S18739-BLM0-PMC-RSN,2461,kept,PMC
PM-HA_S04610-BLM0-DMNX-RSN,1244,kept,DMNX
PM-HA_S00781-BLM0-DMNX-RSN,5117,kept,DMNX
PM-HA_S04610-BLM0-PFC-RSN,3864,kept,PFC
PM-HA_S07532-BLM0-GPI-RSN,3250,kept,GPI
PM-HA_S18739-BLM0-DMNX-RSN,4794,kept,DMNX
PM-HA_S00447-BLM0-PMC-RSN,928,kept,PMC
PM-HA_S00781-BLM0-PVC-RSN,5296,kept,PVC
PM-HA_S08385-BLM0-PFC-RSN,5577,kept,PFC
PM-HA_S10096-BLM0-GPI-RSN,2418,kept,GPI
PM-HA_S16580-BLM0-PVC-RSN,4606,kept,PVC
PM-HA_S16962-BLM0-PMC-RSN,4722,kept,PMC
PM-HA_S19871-BLM0-PFC-RSN,639,kept,PFC
PM-HA_S01646-BLM0-PFC-RSN,5768,kept,PFC
PM-HA_S03112-BLM0-GPI-RSN,2325,kept,GPI
PM-HA_S07555-BLM0-PMC-RSN,5730,kept,PMC
PM-HA_S10096-BLM0-PMC-RSN,6875,kept,PMC
PM-HA_S11972-BLM0-DMNX-RSN,2369,kept,DMNX
PM-HA_S16962-BLM0-DMNX-RSN,3443,kept,DMNX
PM-HA_S01646-BLM0-PVC-RSN,2934,kept,PVC
PM-HA_S16580-BLM0-PMC-RSN,9670,kept,PMC
PM-HA_S16962-BLM0-PFC-RSN,7956,kept,PFC
PM-HA_S19010-BLM0-PMC-RSN,6417,kept,PMC
PM-HA_S10096-BLM0-DMNX-RSN,848,kept,DMNX
PM-HA_S18739-BLM0-PVC-RSN,2114,kept,PVC
PM-HA_S01646-BLM0-PMC-RSN,8512,kept,PMC
PM-HA_S16580-BLM0-PFC-RSN,5549,kept,PFC
PM-HA_S16962-BLM0-GPI-RSN,6073,kept,GPI
PM-HA_S19010-BLM0-PVC-RSN,3596,kept,PVC
PM-HA_S08385-BLM0-DMNX-RSN,1322,kept,DMNX
PM-HA_S04610-BLM0-PMC-RSN,2531,kept,PMC
PM-HA_S05887-BLM0-DMNX-RSN,6775,kept,DMNX
PM-HA_S07532-BLM0-PFC-RSN,8354,kept,PFC
PM-HA_S19010-BLM0-DMNX-RSN,3152,kept,DMNX
PM-HA_S00781-BLM0-PMC-RSN,5891,kept,PMC
PM-HA_S03112-BLM0-PFC-RSN,6312,kept,PFC
PM-HA_S07555-BLM0-PVC-RSN,5005,kept,PVC
PM-HA_S08385-BLM0-GPI-RSN,6317,kept,GPI
PM-HA_S11972-BLM0-GPI-RSN,4388,kept,GPI
PM-HA_S19871-BLM0-DMNX-RSN,1177,kept,DMNX
PM-HA_S00781-BLM0-PFC-RSN,8586,kept,PFC
PM-HA_S07555-BLM0-PFC-RSN,3787,kept,PFC
PM-HA_S08385-BLM0-PMC-RSN,4330,kept,PMC
PM-HA_S10096-BLM0-PVC-RSN,3354,kept,PVC
PM-HA_S16580-BLM0-GPI-RSN,7825,kept,GPI
PM-HA_S03112-BLM0-DMNX-RSN,1193,kept,DMNX
PM-HA_S05887-BLM0-GPI-RSN,9121,kept,GPI
PM-HA_S07555-BLM0-GPI-RSN,3464,kept,GPI
PM-HA_S08385-BLM0-PVC-RSN,5454,kept,PVC
PM-HA_S11972-BLM0-PFC-RSN,7172,kept,PFC
PM-HA_S02971-BLM0-DMNX-RSN,2468,kept,DMNX
PM-MS_96251-BLM0-GPI-RSN,5088,kept,GPI
PM-HA_S01667-BLM0-PVC-RSN,3220,kept,PVC
PM-HA_S02252-BLM0-PMC-RSN,7696,kept,PMC
PM-HA_S05527-BLM0-PFC-RSN,6261,kept,PFC
PM-HA_S12889-BLM0-DMNX-RSN,3894,kept,DMNX
PM-MS_644748-BLM0-PVC-RSN,8410,kept,PVC
PM-HA_S01667-BLM0-PMC-RSN,5218,kept,PMC
PM-HA_S02252-BLM0-PFC-RSN,8023,kept,PFC
PM-HA_S05527-BLM0-GPI-RSN,8136,kept,GPI
PM-HA_S14032-BLM0-PMC-RSN,1479,kept,PMC
PM-MS_96251-BLM0-PMC-RSN,6189,kept,PMC
PM-HA_S01667-BLM0-PFC-RSN,7333,kept,PFC
PM-HA_S02252-BLM0-GPI-RSN,3876,kept,GPI
PM-HA_S05527-BLM0-DMNX-RSN,4067,kept,DMNX
PM-HA_S12889-BLM0-GPI-RSN,4998,kept,GPI
PM-HA_S07792-BLM0-PFC-RSN,4132,kept,PFC
PM-HA_S12889-BLM0-PVC-RSN,1109,kept,PVC
PM-HA_S16298-BLM0-DMNX-RSN,7087,kept,DMNX
PM-HA_S05527-BLM0-PMC-RSN,678,kept,PMC
PM-HA_S06947-BLM0-GPI-RSN,1323,kept,GPI
PM-MS_644748-BLM0-DMNX-RSN,1667,kept,DMNX
PM-MS_96251-BLM0-PFC-RSN,2236,kept,PFC
PM-HA_S07792-BLM0-PMC-RSN,1273,kept,PMC
PM-HA_S12889-BLM0-PMC-RSN,1151,kept,PMC
PM-HA_S16298-BLM0-GPI-RSN,2788,kept,GPI
PM-MS_971551-BLM0-PMC-RSN,423,kept,PMC
PM-MS_644748-BLM0-GPI-RSN,7016,kept,GPI
PM-MS_96251-BLM0-PVC-RSN,3275,kept,PVC
PM-HA_S07792-BLM0-GPI-RSN,2790,kept,GPI
PM-HA_S12889-BLM0-PFC-RSN,4203,kept,PFC
PM-HA_S06947-BLM0-DMNX-RSN,897,kept,DMNX
PM-MS_644748-BLM0-PFC-RSN,5973,kept,PFC
PM-HA_S06947-BLM0-PMC-RSN,1942,kept,PMC
PM-HA_S07792-BLM0-PVC-RSN,3224,kept,PVC
PM-HA_S16298-BLM0-PFC-RSN,4818,kept,PFC
PM-HA_S14032-BLM0-GPI-RSN,938,kept,GPI
PM-HA_S01667-BLM0-DMNX-RSN,2226,kept,DMNX
PM-MS_644748-BLM0-PMC-RSN,6471,kept,PMC
PM-UD_11412_001-BLM0-GPI-RSN,5219,kept,GPI
PM-UM_HCTBY-BLM0-DMNX-RSN,3955,kept,DMNX
PM-HA_S06947-BLM0-PVC-RSN,745,kept,PVC
PM-HA_S14032-BLM0-PFC-RSN,1564,kept,PFC
PM-HA_S07792-BLM0-DMNX-RSN,1451,kept,DMNX
PM-HA_S01667-BLM0-GPI-RSN,2352,kept,GPI
PM-HA_S02252-BLM0-DMNX-RSN,1102,kept,DMNX
PM-HA_S03112-BLM0-PMC-RSN,4776,kept,PMC
PM-HA_S16298-BLM0-PVC-RSN,5013,kept,PVC
PM-MS_38636-BLM0-PVC-RSN,7758,kept,PVC
PM-MS_840752-BLM0-PMC-RSN,3861,kept,PMC
PM-MS_69779-BLM0-PVC-RSN,6496,kept,PVC
PM-MS_841919-BLM0-PMC-RSN,4834,kept,PMC
PM-MS_64111-BLM0-DMNX-RSN,2934,kept,DMNX
PM-MS_202387-BLM0-PMC-RSN,7296,kept,PMC
PM-MS_69779-BLM0-DMNX-RSN,4072,kept,DMNX
PM-MS_85716-BLM0-PMC-RSN,4592,kept,PMC
